"","word"
"552","send"
"553","a"
"554","few"
"555","lines"
"556","by"
"557","you"
"558","to"
"559","assure"
"560","him"
"561","of"
"562","my"
"563","hearty"
"564","consent"
"565","to"
"566","his"
"567","marrying"
"568","whichever"
"569","he"
"570","chooses"
"571","of"
"572","the"
"573","girls"
"574","though"
"575","i"
"576","must"
"577","throw"
"578","in"
"579","a"
"580","good"
"581","word"
"582","for"
"583","my"
"584","little"
"585","lizzy"
"586","i"
"587","desire"
"588","you"
"589","will"
"590","do"
"591","no"
"592","such"
"593","thing"
"594","lizzy"
"595","is"
"596","not"
"597","a"
"598","bit"
"599","better"
"600","than"
"601","the"
"602","others"
"603","and"
"604","i"
"605","am"
"606","sure"
"607","she"
"608","is"
"609","not"
"610","half"
"611","so"
"612","handsome"
"613","as"
"614","jane"
"615","nor"
"616","half"
"617","so"
"618","good"
"619","humoured"
"620","as"
"621","lydia"
"622","but"
"623","you"
"624","are"
"625","always"
"626","giving"
"627","her"
"628","the"
"629","preference"
"630","they"
"631","have"
"632","none"
"633","of"
"634","them"
"635","much"
"636","to"
"637","recommend"
"638","them"
"639","replied"
"640","he"
"641","they"
"642","are"
"643","all"
"644","silly"
"645","and"
"646","ignorant"
"647","like"
"648","other"
"649","girls"
"650","but"
"651","lizzy"
"652","has"
"653","something"
"654","more"
"655","of"
"656","quickness"
"657","than"
"658","her"
"659","sisters"
"660","mr"
"661","bennet"
"662","how"
"663","can"
"664","you"
"665","abuse"
"666","your"
"667","own"
"668","children"
"669","in"
"670","such"
"671","a"
"672","way"
"673","you"
"674","take"
"675","delight"
"676","in"
"677","vexing"
"678","me"
"679","you"
"680","have"
"681","no"
"682","compassion"
"683","for"
"684","my"
"685","poor"
"686","nerves"
"687","you"
"688","mistake"
"689","me"
"690","my"
"691","dear"
"692","i"
"693","have"
"694","a"
"695","high"
"696","respect"
"697","for"
"698","your"
"699","nerves"
"700","they"
"701","are"
"702","my"
"703","old"
"704","friends"
"705","i"
"706","have"
"707","heard"
"708","you"
"709","mention"
"710","them"
"711","with"
"712","consideration"
"713","these"
"714","last"
"715","twenty"
"716","years"
"717","at"
"718","least"
"719","ah"
"720","you"
"721","do"
"722","not"
"723","know"
"724","what"
"725","i"
"726","suffer"
"727","but"
"728","i"
"729","hope"
"730","you"
"731","will"
"732","get"
"733","over"
"734","it"
"735","and"
"736","live"
"737","to"
"738","see"
"739","many"
"740","young"
"741","men"
"742","of"
"743","four"
"744","thousand"
"745","a"
"746","year"
"747","come"
"748","into"
"749","the"
"750","neighbourhood"
"751","it"
"752","will"
"753","be"
"754","no"
"755","use"
"756","to"
"757","us"
"758","if"
"759","twenty"
"760","such"
"761","should"
"762","come"
"763","since"
"764","you"
"765","will"
"766","not"
"767","visit"
"768","them"
"769","depend"
"770","upon"
"771","it"
"772","my"
"773","dear"
"774","that"
"775","when"
"776","there"
"777","are"
"778","twenty"
"779","i"
"780","will"
"781","visit"
"782","them"
"783","all"
"784","mr"
"785","bennet"
"786","was"
"787","so"
"788","odd"
"789","a"
"790","mixture"
"791","of"
"792","quick"
"793","parts"
"794","sarcastic"
"795","humour"
"796","reserve"
"797","and"
"798","caprice"
"799","that"
"800","the"
"801","experience"
"802","of"
"803","three"
"804","and"
"805","twenty"
"806","years"
"807","had"
"808","been"
"809","insufficient"
"810","to"
"811","make"
"812","his"
"813","wife"
"814","understand"
"815","his"
"816","character"
"817","her"
"818","mind"
"819","was"
"820","less"
"821","difficult"
"822","to"
"823","develop"
"824","she"
"825","was"
"826","a"
"827","woman"
"828","of"
"829","mean"
"830","understanding"
"831","little"
"832","information"
"833","and"
"834","uncertain"
"835","temper"
"836","when"
"837","she"
"838","was"
"839","discontented"
"840","she"
"841","fancied"
"842","herself"
"843","nervous"
"844","the"
"845","business"
"846","of"
"847","her"
"848","life"
"849","was"
"850","to"
"851","get"
"852","her"
"853","daughters"
"854","married"
"855","its"
"856","solace"
"857","was"
"858","visiting"
"859","and"
"860","news"
"861","chapter"
"862","2"
"863","mr"
"864","bennet"
"865","was"
"866","among"
"867","the"
"868","earliest"
"869","of"
"870","those"
"871","who"
"872","waited"
"873","on"
"874","mr"
"875","bingley"
"876","he"
"877","had"
"878","always"
"879","intended"
"880","to"
"881","visit"
"882","him"
"883","though"
"884","to"
"885","the"
"886","last"
"887","always"
"888","assuring"
"889","his"
"890","wife"
"891","that"
"892","he"
"893","should"
"894","not"
"895","go"
"896","and"
"897","till"
"898","the"
"899","evening"
"900","after"
"901","the"
"902","visit"
"903","was"
"904","paid"
"905","she"
"906","had"
"907","no"
"908","knowledge"
"909","of"
"910","it"
"911","it"
"912","was"
"913","then"
"914","disclosed"
"915","in"
"916","the"
"917","following"
"918","manner"
"919","observing"
"920","his"
"921","second"
"922","daughter"
"923","employed"
"924","in"
"925","trimming"
"926","a"
"927","hat"
"928","he"
"929","suddenly"
"930","addressed"
"931","her"
"932","with"
"933","i"
"934","hope"
"935","mr"
"936","bingley"
"937","will"
"938","like"
"939","it"
"940","lizzy"
"941","we"
"942","are"
"943","not"
"944","in"
"945","a"
"946","way"
"947","to"
"948","know"
"949","what"
"950","mr"
"951","bingley"
"952","likes"
"953","said"
"954","her"
"955","mother"
"956","resentfully"
"957","since"
"958","we"
"959","are"
"960","not"
"961","to"
"962","visit"
"963","but"
"964","you"
"965","forget"
"966","mamma"
"967","said"
"968","elizabeth"
"969","that"
"970","we"
"971","shall"
"972","meet"
"973","him"
"974","at"
"975","the"
"976","assemblies"
"977","and"
"978","that"
"979","mrs"
"980","long"
"981","promised"
"982","to"
"983","introduce"
"984","him"
"985","i"
"986","do"
"987","not"
"988","believe"
"989","mrs"
"990","long"
"991","will"
"992","do"
"993","any"
"994","such"
"995","thing"
"996","she"
"997","has"
"998","two"
"999","nieces"
"1000","of"
"1001","her"
"1002","own"
"1003","she"
"1004","is"
"1005","a"
"1006","selfish"
"1007","hypocritical"
"1008","woman"
"1009","and"
"1010","i"
"1011","have"
"1012","no"
"1013","opinion"
"1014","of"
"1015","her"
"1016","no"
"1017","more"
"1018","have"
"1019","i"
"1020","said"
"1021","mr"
"1022","bennet"
"1023","and"
"1024","i"
"1025","am"
"1026","glad"
"1027","to"
"1028","find"
"1029","that"
"1030","you"
"1031","do"
"1032","not"
"1033","depend"
"1034","on"
"1035","her"
"1036","serving"
"1037","you"
"1038","mrs"
"1039","bennet"
"1040","deigned"
"1041","not"
"1042","to"
"1043","make"
"1044","any"
"1045","reply"
"1046","but"
"1047","unable"
"1048","to"
"1049","contain"
"1050","herself"
"1051","began"
"1052","scolding"
"1053","one"
"1054","of"
"1055","her"
"1056","daughters"
"1057","don't"
"1058","keep"
"1059","coughing"
"1060","so"
"1061","kitty"
"1062","for"
"1063","heaven's"
"1064","sake"
"1065","have"
"1066","a"
"1067","little"
"1068","compassion"
"1069","on"
"1070","my"
"1071","nerves"
"1072","you"
"1073","tear"
"1074","them"
"1075","to"
"1076","pieces"
"1077","kitty"
"1078","has"
"1079","no"
"1080","discretion"
"1081","in"
"1082","her"
"1083","coughs"
"1084","said"
"1085","her"
"1086","father"
"1087","she"
"1088","times"
"1089","them"
"1090","ill"
"1091","i"
"1092","do"
"1093","not"
"1094","cough"
"1095","for"
"1096","my"
"1097","own"
"1098","amusement"
"1099","replied"
"1100","kitty"
"1101","fretfully"
"1102","when"
"1103","is"
"1104","your"
"1105","next"
"1106","ball"
"1107","to"
"1108","be"
"1109","lizzy"
"1110","to"
"1111","morrow"
"1112","fortnight"
"1113","aye"
"1114","so"
"1115","it"
"1116","is"
"1117","cried"
"1118","her"
"1119","mother"
"1120","and"
"1121","mrs"
"1122","long"
"1123","does"
"1124","not"
"1125","come"
"1126","back"
"1127","till"
"1128","the"
"1129","day"
"1130","before"
"1131","so"
"1132","it"
"1133","will"
"1134","be"
"1135","impossible"
"1136","for"
"1137","her"
"1138","to"
"1139","introduce"
"1140","him"
"1141","for"
"1142","she"
"1143","will"
"1144","not"
"1145","know"
"1146","him"
"1147","herself"
"1148","then"
"1149","my"
"1150","dear"
"1151","you"
"1152","may"
"1153","have"
"1154","the"
"1155","advantage"
"1156","of"
"1157","your"
"1158","friend"
"1159","and"
"1160","introduce"
"1161","mr"
"1162","bingley"
"1163","to"
"1164","her"
"1165","impossible"
"1166","mr"
"1167","bennet"
"1168","impossible"
"1169","when"
"1170","i"
"1171","am"
"1172","not"
"1173","acquainted"
"1174","with"
"1175","him"
"1176","myself"
"1177","how"
"1178","can"
"1179","you"
"1180","be"
"1181","so"
"1182","teasing"
"1183","i"
"1184","honour"
"1185","your"
"1186","circumspection"
"1187","a"
"1188","fortnight's"
"1189","acquaintance"
"1190","is"
"1191","certainly"
"1192","very"
"1193","little"
"1194","one"
"1195","cannot"
"1196","know"
"1197","what"
"1198","a"
"1199","man"
"1200","really"
"1201","is"
"1202","by"
"1203","the"
"1204","end"
"1205","of"
"1206","a"
"1207","fortnight"
"1208","but"
"1209","if"
"1210","we"
"1211","do"
"1212","not"
"1213","venture"
"1214","somebody"
"1215","else"
"1216","will"
"1217","and"
"1218","after"
"1219","all"
"1220","mrs"
"1221","long"
"1222","and"
"1223","her"
"1224","neices"
"1225","must"
"1226","stand"
"1227","their"
"1228","chance"
"1229","and"
"1230","therefore"
"1231","as"
"1232","she"
"1233","will"
"1234","think"
"1235","it"
"1236","an"
"1237","act"
"1238","of"
"1239","kindness"
"1240","if"
"1241","you"
"1242","decline"
"1243","the"
"1244","office"
"1245","i"
"1246","will"
"1247","take"
"1248","it"
"1249","on"
"1250","myself"
"1251","the"
"1252","girls"
"1253","stared"
"1254","at"
"1255","their"
"1256","father"
"1257","mrs"
"1258","bennet"
"1259","said"
"1260","only"
"1261","nonsense"
"1262","nonsense"
"1263","what"
"1264","can"
"1265","be"
"1266","the"
"1267","meaning"
"1268","of"
"1269","that"
"1270","emphatic"
"1271","exclamation"
"1272","cried"
"1273","he"
"1274","do"
"1275","you"
"1276","consider"
"1277","the"
"1278","forms"
"1279","of"
"1280","introduction"
"1281","and"
"1282","the"
"1283","stress"
"1284","that"
"1285","is"
"1286","laid"
"1287","on"
"1288","them"
"1289","as"
"1290","nonsense"
"1291","i"
"1292","cannot"
"1293","quite"
"1294","agree"
"1295","with"
"1296","you"
"1297","there"
"1298","what"
"1299","say"
"1300","you"
"1301","mary"
"1302","for"
"1303","you"
"1304","are"
"1305","a"
"1306","young"
"1307","lady"
"1308","of"
"1309","deep"
"1310","reflection"
"1311","i"
"1312","know"
"1313","and"
"1314","read"
"1315","great"
"1316","books"
"1317","and"
"1318","make"
"1319","extracts"
"1320","mary"
"1321","wished"
"1322","to"
"1323","say"
"1324","something"
"1325","sensible"
"1326","but"
"1327","knew"
"1328","not"
"1329","how"
"1330","while"
"1331","mary"
"1332","is"
"1333","adjusting"
"1334","her"
"1335","ideas"
"1336","he"
"1337","continued"
"1338","let"
"1339","us"
"1340","return"
"1341","to"
"1342","mr"
"1343","bingley"
"1344","i"
"1345","am"
"1346","sick"
"1347","of"
"1348","mr"
"1349","bingley"
"1350","cried"
"1351","his"
"1352","wife"
"1353","i"
"1354","am"
"1355","sorry"
"1356","to"
"1357","hear"
"1358","that"
"1359","but"
"1360","why"
"1361","did"
"1362","not"
"1363","you"
"1364","tell"
"1365","me"
"1366","that"
"1367","before"
"1368","if"
"1369","i"
"1370","had"
"1371","known"
"1372","as"
"1373","much"
"1374","this"
"1375","morning"
"1376","i"
"1377","certainly"
"1378","would"
"1379","not"
"1380","have"
"1381","called"
"1382","on"
"1383","him"
"1384","it"
"1385","is"
"1386","very"
"1387","unlucky"
"1388","but"
"1389","as"
"1390","i"
"1391","have"
"1392","actually"
"1393","paid"
"1394","the"
"1395","visit"
"1396","we"
"1397","cannot"
"1398","escape"
"1399","the"
"1400","acquaintance"
"1401","now"
"1402","the"
"1403","astonishment"
"1404","of"
"1405","the"
"1406","ladies"
"1407","was"
"1408","just"
"1409","what"
"1410","he"
"1411","wished"
"1412","that"
"1413","of"
"1414","mrs"
"1415","bennet"
"1416","perhaps"
"1417","surpassing"
"1418","the"
"1419","rest"
"1420","though"
"1421","when"
"1422","the"
"1423","first"
"1424","tumult"
"1425","of"
"1426","joy"
"1427","was"
"1428","over"
"1429","she"
"1430","began"
"1431","to"
"1432","declare"
"1433","that"
"1434","it"
"1435","was"
"1436","what"
"1437","she"
"1438","had"
"1439","expected"
"1440","all"
"1441","the"
"1442","while"
"1443","how"
"1444","good"
"1445","it"
"1446","was"
"1447","in"
"1448","you"
"1449","my"
"1450","dear"
"1451","mr"
"1452","bennet"
"1453","but"
"1454","i"
"1455","knew"
"1456","i"
"1457","should"
"1458","persuade"
"1459","you"
"1460","at"
"1461","last"
"1462","i"
"1463","was"
"1464","sure"
"1465","you"
"1466","loved"
"1467","your"
"1468","girls"
"1469","too"
"1470","well"
"1471","to"
"1472","neglect"
"1473","such"
"1474","an"
"1475","acquaintance"
"1476","well"
"1477","how"
"1478","pleased"
"1479","i"
"1480","am"
"1481","and"
"1482","it"
"1483","is"
"1484","such"
"1485","a"
"1486","good"
"1487","joke"
"1488","too"
"1489","that"
"1490","you"
"1491","should"
"1492","have"
"1493","gone"
"1494","this"
"1495","morning"
"1496","and"
"1497","never"
"1498","said"
"1499","a"
"1500","word"
"1501","about"
"1502","it"
"1503","till"
"1504","now"
"1505","now"
"1506","kitty"
"1507","you"
"1508","may"
"1509","cough"
"1510","as"
"1511","much"
"1512","as"
"1513","you"
"1514","choose"
"1515","said"
"1516","mr"
"1517","bennet"
"1518","and"
"1519","as"
"1520","he"
"1521","spoke"
"1522","he"
"1523","left"
"1524","the"
"1525","room"
"1526","fatigued"
"1527","with"
"1528","the"
"1529","raptures"
"1530","of"
"1531","his"
"1532","wife"
"1533","what"
"1534","an"
"1535","excellent"
"1536","father"
"1537","you"
"1538","have"
"1539","girls"
"1540","said"
"1541","she"
"1542","when"
"1543","the"
"1544","door"
"1545","was"
"1546","shut"
"1547","i"
"1548","do"
"1549","not"
"1550","know"
"1551","how"
"1552","you"
"1553","will"
"1554","ever"
"1555","make"
"1556","him"
"1557","amends"
"1558","for"
"1559","his"
"1560","kindness"
"1561","or"
"1562","me"
"1563","either"
"1564","for"
"1565","that"
"1566","matter"
"1567","at"
"1568","our"
"1569","time"
"1570","of"
"1571","life"
"1572","it"
"1573","is"
"1574","not"
"1575","so"
"1576","pleasant"
"1577","i"
"1578","can"
"1579","tell"
"1580","you"
"1581","to"
"1582","be"
"1583","making"
"1584","new"
"1585","acquaintances"
"1586","every"
"1587","day"
"1588","but"
"1589","for"
"1590","your"
"1591","sakes"
"1592","we"
"1593","would"
"1594","do"
"1595","anything"
"1596","lydia"
"1597","my"
"1598","love"
"1599","though"
"1600","you"
"1601","are"
"1602","the"
"1603","youngest"
"1604","i"
"1605","dare"
"1606","say"
"1607","mr"
"1608","bingley"
"1609","will"
"1610","dance"
"1611","with"
"1612","you"
"1613","at"
"1614","the"
"1615","next"
"1616","ball"
"1617","oh"
"1618","said"
"1619","lydia"
"1620","stoutly"
"1621","i"
"1622","am"
"1623","not"
"1624","afraid"
"1625","for"
"1626","though"
"1627","i"
"1628","am"
"1629","the"
"1630","youngest"
"1631","i'm"
"1632","the"
"1633","tallest"
"1634","the"
"1635","rest"
"1636","of"
"1637","the"
"1638","evening"
"1639","was"
"1640","spent"
"1641","in"
"1642","conjecturing"
"1643","how"
"1644","soon"
"1645","he"
"1646","would"
"1647","return"
"1648","mr"
"1649","bennet's"
"1650","visit"
"1651","and"
"1652","determining"
"1653","when"
"1654","they"
"1655","should"
"1656","ask"
"1657","him"
"1658","to"
"1659","dinner"
"1660","chapter"
"1661","3"
"1662","not"
"1663","all"
"1664","that"
"1665","mrs"
"1666","bennet"
"1667","however"
"1668","with"
"1669","the"
"1670","assistance"
"1671","of"
"1672","her"
"1673","five"
"1674","daughters"
"1675","could"
"1676","ask"
"1677","on"
"1678","the"
"1679","subject"
"1680","was"
"1681","sufficient"
"1682","to"
"1683","draw"
"1684","from"
"1685","her"
"1686","husband"
"1687","any"
"1688","satisfactory"
"1689","description"
"1690","of"
"1691","mr"
"1692","bingley"
"1693","they"
"1694","attacked"
"1695","him"
"1696","in"
"1697","various"
"1698","ways"
"1699","with"
"1700","barefaced"
"1701","questions"
"1702","ingenious"
"1703","suppositions"
"1704","and"
"1705","distant"
"1706","surmises"
"1707","but"
"1708","he"
"1709","eluded"
"1710","the"
"1711","skill"
"1712","of"
"1713","them"
"1714","all"
"1715","and"
"1716","they"
"1717","were"
"1718","at"
"1719","last"
"1720","obliged"
"1721","to"
"1722","accept"
"1723","the"
"1724","second"
"1725","hand"
"1726","intelligence"
"1727","of"
"1728","their"
"1729","neighbour"
"1730","lady"
"1731","lucas"
"1732","her"
"1733","report"
"1734","was"
"1735","highly"
"1736","favourable"
"1737","sir"
"1738","william"
"1739","had"
"1740","been"
"1741","delighted"
"1742","with"
"1743","him"
"1744","he"
"1745","was"
"1746","quite"
"1747","young"
"1748","wonderfully"
"1749","handsome"
"1750","extremely"
"1751","agreeable"
"1752","and"
"1753","to"
"1754","crown"
"1755","the"
"1756","whole"
"1757","he"
"1758","meant"
"1759","to"
"1760","be"
"1761","at"
"1762","the"
"1763","next"
"1764","assembly"
"1765","with"
"1766","a"
"1767","large"
"1768","party"
"1769","nothing"
"1770","could"
"1771","be"
"1772","more"
"1773","delightful"
"1774","to"
"1775","be"
"1776","fond"
"1777","of"
"1778","dancing"
"1779","was"
"1780","a"
"1781","certain"
"1782","step"
"1783","towards"
"1784","falling"
"1785","in"
"1786","love"
"1787","and"
"1788","very"
"1789","lively"
"1790","hopes"
"1791","of"
"1792","mr"
"1793","bingley's"
"1794","heart"
"1795","were"
"1796","entertained"
"1797","if"
"1798","i"
"1799","can"
"1800","but"
"1801","see"
"1802","one"
"1803","of"
"1804","my"
"1805","daughters"
"1806","happily"
"1807","settled"
"1808","at"
"1809","netherfield"
"1810","said"
"1811","mrs"
"1812","bennet"
"1813","to"
"1814","her"
"1815","husband"
"1816","and"
"1817","all"
"1818","the"
"1819","others"
"1820","equally"
"1821","well"
"1822","married"
"1823","i"
"1824","shall"
"1825","have"
"1826","nothing"
"1827","to"
"1828","wish"
"1829","for"
"1830","in"
"1831","a"
"1832","few"
"1833","days"
"1834","mr"
"1835","bingley"
"1836","returned"
"1837","mr"
"1838","bennet's"
"1839","visit"
"1840","and"
"1841","sat"
"1842","about"
"1843","ten"
"1844","minutes"
"1845","with"
"1846","him"
"1847","in"
"1848","his"
"1849","library"
"1850","he"
"1851","had"
"1852","entertained"
"1853","hopes"
"1854","of"
"1855","being"
"1856","admitted"
"1857","to"
"1858","a"
"1859","sight"
"1860","of"
"1861","the"
"1862","young"
"1863","ladies"
"1864","of"
"1865","whose"
"1866","beauty"
"1867","he"
"1868","had"
"1869","heard"
"1870","much"
"1871","but"
"1872","he"
"1873","saw"
"1874","only"
"1875","the"
"1876","father"
"1877","the"
"1878","ladies"
"1879","were"
"1880","somewhat"
"1881","more"
"1882","fortunate"
"1883","for"
"1884","they"
"1885","had"
"1886","the"
"1887","advantage"
"1888","of"
"1889","ascertaining"
"1890","from"
"1891","an"
"1892","upper"
"1893","window"
"1894","that"
"1895","he"
"1896","wore"
"1897","a"
"1898","blue"
"1899","coat"
"1900","and"
"1901","rode"
"1902","a"
"1903","black"
"1904","horse"
"1905","an"
"1906","invitation"
"1907","to"
"1908","dinner"
"1909","was"
"1910","soon"
"1911","afterwards"
"1912","dispatched"
"1913","and"
"1914","already"
"1915","had"
"1916","mrs"
"1917","bennet"
"1918","planned"
"1919","the"
"1920","courses"
"1921","that"
"1922","were"
"1923","to"
"1924","do"
"1925","credit"
"1926","to"
"1927","her"
"1928","housekeeping"
"1929","when"
"1930","an"
"1931","answer"
"1932","arrived"
"1933","which"
"1934","deferred"
"1935","it"
"1936","all"
"1937","mr"
"1938","bingley"
"1939","was"
"1940","obliged"
"1941","to"
"1942","be"
"1943","in"
"1944","town"
"1945","the"
"1946","following"
"1947","day"
"1948","and"
"1949","consequently"
"1950","unable"
"1951","to"
"1952","accept"
"1953","the"
"1954","honour"
"1955","of"
"1956","their"
"1957","invitation"
"1958","etc"
"1959","mrs"
"1960","bennet"
"1961","was"
"1962","quite"
"1963","disconcerted"
"1964","she"
"1965","could"
"1966","not"
"1967","imagine"
"1968","what"
"1969","business"
"1970","he"
"1971","could"
"1972","have"
"1973","in"
"1974","town"
"1975","so"
"1976","soon"
"1977","after"
"1978","his"
"1979","arrival"
"1980","in"
"1981","hertfordshire"
"1982","and"
"1983","she"
"1984","began"
"1985","to"
"1986","fear"
"1987","that"
"1988","he"
"1989","might"
"1990","be"
"1991","always"
"1992","flying"
"1993","about"
"1994","from"
"1995","one"
"1996","place"
"1997","to"
"1998","another"
